id,x,y,connections
N1,88,766,N2;N3;N5
N2,98,766,N1;N3;N4;N5;N6
N3,98,774,N2;N1;N4;N9
N4,98,780,N3;N2;N9;N10
N5,98,760,N2;N1;N6;N7
N6,98,754,N5;N2;N7;N8
N7,98,748,N6;N5;N8
N8,98,744,N7;N6
N9,104,776,N3;N4;N10;N11
N10,112,778,N9;N4;N11;N12
N11,118,780,N10;N9;N12;N13
N12,124,782,N11;N10;N13;N14
N13,130,784,N12;N11;N14;N15
N14,134,784,N13;N12;N15;N16
N15,140,784,N14;N13;N16;N17
N16,146,784,N15;N14;N17;N18
N17,152,784,N16;N15;N18;N19
N18,158,784,N17;N16;N19;N20
N19,164,784,N18;N17;N20;N21;N77;N307
N20,170,784,N19;N18;N21;N22;N77
N21,176,784,N20;N19;N22;N23;N301;N302
N22,182,784,N21;N20;N23;N24;N50
N23,188,784,N22;N21;N24;N26;N50
N24,194,784,N23;N22;N26;N27
N26,200,784,N24;N23;N27;N28;N29
N27,200,784,N26;N24;N28
N28,206,784,N26;N27;N29;N30
N29,212,784,N28;N26;N30;N31
N30,218,784,N29;N28;N31;N32
N31,224,784,N30;N29;N32;N33
N32,230,784,N31;N30;N33;N34
N33,236,784,N32;N31;N34;N35
N34,242,784,N33;N32;N35;N36;N49
N35,248,784,N34;N33;N36;N37;N48
N36,254,784,N35;N34;N37;N38;N303
N37,260,784,N36;N35;N38;N39
N38,266,784,N37;N36;N39;N40
N39,272,784,N38;N37;N40
N40,278,784,N39;N38;N81
N41,236,774,N45;N46
N45,242,774,N41;N46
N46,246,774,N45;N41;N47
N47,246,778,N46;N48
N48,246,782,N35;N47;N49
N49,244,784,N34;N48;N353
N50,186,780,N23;N22;N51;N52
N51,186,774,N50;N52;N53
N52,186,768,N51;N50;N53;N54
N53,186,762,N52;N51;N54;N55
N54,186,756,N53;N52;N55;N56
N55,186,750,N54;N53;N56;N57
N56,186,744,N55;N54;N57;N58
N57,186,738,N56;N55;N58;N59
N58,186,732,N57;N56;N59;N60
N59,186,726,N58;N57;N60;N61
N60,186,720,N59;N58;N61;N62
N61,186,714,N60;N59;N62;N63;N65
N62,186,712,N61;N60;N63;N64;N65;N66
N63,190,712,N62;N61;N64;N273
N64,194,712,N63;N62;N273
N65,182,712,N62;N61;N66;N67
N66,178,712,N65;N62;N67;N68
N67,164,712,N66;N65;N68;N69
N68,160,712,N67;N66;N69;N70
N69,156,712,N68;N67;N70;N71
N70,152,712,N69;N68;N71;N72
N71,148,712,N70;N69;N72;N73
N72,144,712,N71;N70;N73;N74
N73,140,712,N72;N71;N74;N75
N74,136,712,N73;N72;N75;N76
N75,132,712,N74;N73;N76
N76,128,712,N75;N74
N77,166,780,N19;N20;N78
N78,166,774,N77;N79;N80
N79,162,774,N78;N80
N80,158,774,N79;N78
N81,290,812,N40;N82;N83
N82,300,812,N81;N83;N84
N83,310,812,N82;N81;N84;N85
N84,320,812,N83;N82;N85;N86
N85,330,812,N84;N83;N86;N87
N86,340,812,N85;N84;N87;N88
N87,350,812,N86;N85;N88;N89
N88,360,812,N87;N86;N89;N90
N89,370,812,N88;N87;N90;N91
N90,380,812,N89;N88;N91;N92
N91,390,812,N90;N89;N92
N92,398,812,N91;N90;N94
N94,398,794,N92;N95;N96
N95,400,794,N94;N96
N96,408,794,N95;N94;N97
N97,416,796,N96;N98
N98,422,798,N97;N99;N100
N99,430,798,N98;N100;N101
N100,438,798,N99;N98;N101;N102;N249;N251
N101,446,798,N100;N99;N102;N103
N102,454,798,N101;N100;N103;N104
N103,462,798,N102;N101;N104;N105
N104,470,798,N103;N102;N105;N106
N105,478,798,N104;N103;N106;N107
N106,486,798,N105;N104;N107;N108
N107,494,798,N106;N105;N108;N109
N108,502,798,N107;N106;N109;N111
N109,510,798,N108;N107;N111;N112
N111,518,798,N109;N108;N112;N113;N299
N112,526,798,N111;N109;N113;N114
N113,534,798,N112;N111;N114;N115
N114,542,798,N113;N112;N115;N116
N115,550,798,N114;N113;N116;N117
N116,560,798,N115;N114;N117;N118
N117,568,798,N116;N115;N118;N119
N118,576,798,N117;N116;N119;N120
N119,586,798,N118;N117;N120;N123
N120,592,798,N119;N118;N121;N122;N123;N124
N121,592,778,N120;N122
N122,592,760,N121;N120
N123,602,798,N120;N119;N124;N125
N124,614,798,N123;N120;N125;N126
N125,622,798,N124;N123;N126;N127
N126,638,798,N125;N124;N127;N128
N127,656,798,N126;N125;N128;N129
N128,672,798,N127;N126;N129
N129,700,798,N128;N127;N130;N133;N134
N130,710,795,N129;N131;N232
N131,715,790,N130;N132
N132,718,786,N131;N234
N133,700,812,N129;N134
N134,700,824,N133;N129;N135;N425
N135,708,830,N134;N138
N138,710,848,N135;N139
N139,710,858,N138;N140;N141;N143
N140,710,870,N139;N141;N142
N141,710,882,N140;N139;N142;N144;N151
N142,710,890,N141;N140;N144;N145;N151
N143,704,858,N139
N144,710,920,N142;N141;N145;N152
N145,710,940,N144;N142;N146;N147
N146,696,940,N145;N147
N147,686,940,N146;N145;N148;N149
N148,686,928,N147
N149,686,952,N147
N151,725,890,N142;N141;N152;N153;N154
N152,725,915,N144;N151;N153
N153,740,900,N151;N152;N154;N155
N154,755,890,N153;N151;N155;N157;N159
N155,755,910,N153;N154;N156;N160
N156,770,910,N155;N157;N160
N157,770,890,N154;N156;N159
N159,774,890,N157;N154;N161;N162;N223
N160,774,910,N156;N155;N222;N223
N161,774,878,N159;N162;N163
N162,774,848,N161;N159;N163;N164;N166
N163,774,832,N162;N161;N164;N166
N164,774,818,N163;N162;N236
N166,774,844,N162;N163;N167;N175
N167,780,844,N166;N175;N176
N175,786,844,N167;N166;N176;N177
N176,792,844,N175;N167;N177;N178
N177,800,844,N176;N175;N178;N179
N178,808,844,N177;N176;N179;N180
N179,818,844,N178;N177;N180;N181
N180,826,844,N179;N178;N181;N182
N181,834,844,N180;N179;N182;N183
N182,842,844,N181;N180;N183;N184
N183,850,844,N182;N181;N184;N185
N184,860,844,N183;N182;N185;N186
N185,868,844,N184;N183;N186;N187
N186,876,844,N185;N184;N187;N188
N187,884,844,N186;N185;N188;N189
N188,892,844,N187;N186;N189
N189,896,844,N188;N187;N190;N191;N192;N193
N190,896,832,N189;N191
N191,896,820,N190;N189
N192,896,852,N189;N193;N194
N193,896,860,N192;N189;N194;N195
N194,896,870,N193;N192;N195;N196
N195,896,880,N194;N193;N196;N197;N523;N524
N196,896,890,N195;N194;N197;N198
N197,896,900,N196;N195;N198;N199
N198,896,910,N197;N196;N199;N200
N199,896,920,N198;N197;N200;N201
N200,896,930,N199;N198;N201;N202
N201,896,940,N200;N199;N202;N203
N202,896,950,N201;N200;N203
N203,896,954,N202;N201;N204;N205
N204,884,954,N203;N205;N206
N205,878,954,N204;N203;N206;N207
N206,868,954,N205;N204;N207;N208
N207,860,954,N206;N205;N208;N209
N208,854,954,N207;N206;N209;N210
N209,846,954,N208;N207;N210;N211
N210,838,954,N209;N208;N211;N212
N211,830,954,N210;N209;N212;N213
N212,820,954,N211;N210;N213;N214
N213,812,954,N212;N211;N214;N215
N214,806,954,N213;N212;N215;N216
N215,802,954,N214;N213;N216;N217
N216,794,954,N215;N214;N217;N218
N217,788,954,N216;N215;N218;N219
N218,782,954,N217;N216;N219;N220
N219,776,954,N218;N217;N220
N220,774,954,N219;N218;N221;N227;N228
N221,774,946,N220;N222
N222,774,930,N221;N160
N223,774,900,N159;N160;N224;N225
N224,784,900,N223;N225;N226
N225,792,900,N224;N223;N226
N226,796,900,N225;N224;N528
N227,774,962,N220;N228;N229
N228,774,972,N227;N220;N229
N229,774,978,N228;N227
N232,716,800,N130;N233
N233,728,798,N232;N234
N234,740,796,N233;N132;N235
N235,760,795,N234;N236;N237
N236,770,795,N235;N164;N237;N238
N237,785,795,N236;N235;N238;N239
N238,805,795,N237;N236;N239;N241
N239,825,795,N238;N237;N241
N241,845,795,N239;N238;N242
N242,865,795,N241;N243
N243,880,795,N242;N244
N244,895,795,N243;N245
N245,915,795,N244;N246
N246,925,795,N245;N247
N247,935,795,N246;N248
N248,935,785,N247
N249,438,808,N100;N251;N252
N251,438,820,N249;N100;N252;N253;N409
N252,438,828,N251;N249;N253;N254;N409
N253,438,838,N252;N251;N254;N255
N254,438,850,N253;N252;N255;N256
N255,438,862,N254;N253;N256;N257
N256,438,870,N255;N254;N257;N258;N401
N257,438,876,N256;N255;N258;N259;N401
N258,438,880,N257;N256;N259;N260
N259,438,884,N258;N257;N260;N262;N269;N270
N260,438,888,N259;N258;N262;N263
N262,438,892,N260;N259;N263;N264
N263,438,896,N262;N260;N264;N265
N264,438,900,N263;N262;N265;N266
N265,438,904,N264;N263;N266;N267
N266,438,908,N265;N264;N267;N268
N267,438,912,N266;N265;N268;N387
N268,438,916,N267;N266;N387;N388
N269,430,884,N259;N270;N271
N270,426,884,N269;N259;N271;N272
N271,422,884,N270;N269;N272
N272,418,884,N271;N270
N273,205,710,N64;N63;N274
N274,215,705,N273;N275
N275,226,704,N274;N276;N277
N276,236,704,N275;N277;N278
N277,248,704,N276;N275;N278;N279
N278,260,704,N277;N276;N279;N280
N279,270,704,N278;N277;N280;N281
N280,288,704,N279;N278;N281;N283
N281,306,704,N280;N279;N283;N284
N283,318,704,N281;N280;N284;N285
N284,326,704,N283;N281;N285;N286
N285,346,704,N284;N283;N286;N288
N286,366,704,N285;N284;N288;N289
N288,380,704,N286;N285;N289
N289,390,704,N288;N286;N290
N290,400,706,N289;N291
N291,418,712,N290;N292
N292,424,716,N291;N293
N293,442,722,N292;N294;N295
N294,458,732,N293;N295
N295,474,742,N294;N293;N296
N296,496,760,N295;N297
N297,506,772,N296;N298
N298,512,784,N297;N300
N299,516,792,N111;N300
N300,514,788,N298;N299
N301,176,792,N21;N302
N302,176,800,N301;N21
N303,256,794,N36;N304
N304,256,800,N303
N307,166,794,N19;N308;N309
N308,166,800,N307;N309;N310
N309,166,804,N308;N307;N310
N310,168,876,N309;N308;N311
N311,166,866,N310;N312
N312,166,860,N311;N313;N315;N318
N313,158,860,N312;N315;N316
N315,150,860,N313;N312;N316;N317
N316,140,860,N315;N313;N317
N317,134,860,N316;N315
N318,174,860,N312;N323;N381
N323,176,866,N318
N324,176,872,
N353,245,795,N49;N355
N355,246,802,N353;N363;N364
N363,245,870,N355;N364
N364,245,860,N363;N355;N365;N366;N369;N370
N365,240,860,N364;N366;N367;N369
N366,235,860,N365;N364;N367;N368
N367,230,860,N366;N365;N368
N368,225,860,N367;N366
N369,250,860,N364;N365;N370;N371
N370,255,860,N369;N364;N371;N372;N376
N371,260,860,N370;N369;N372;N373
N372,264,860,N371;N370;N373;N374
N373,268,860,N372;N371;N374;N375
N374,272,860,N373;N372;N375
N375,276,860,N374;N373
N376,256,864,N370;N377;N378
N377,256,870,N376;N378;N379
N378,256,874,N377;N376;N379;N380
N379,256,878,N378;N377;N380
N380,256,882,N379;N378
N381,180,860,N318;N382;N383
N382,186,860,N381;N383;N384
N383,190,860,N382;N381;N384;N385
N384,196,860,N383;N382;N385;N386
N385,200,860,N384;N383;N386
N386,202,860,N385;N384
N387,438,962,N268;N267;N388;N389
N388,438,968,N387;N268;N389;N390
N389,438,974,N388;N387;N390;N391
N390,438,980,N389;N388;N391;N392
N391,438,986,N390;N389;N392;N393
N392,438,992,N391;N390;N393;N394
N393,438,998,N392;N391;N394;N395
N394,438,1006,N393;N392;N395;N396
N395,438,1012,N394;N393;N396;N397
N396,438,1018,N395;N394;N397;N398
N397,438,1024,N396;N395;N398;N399
N398,438,1030,N397;N396;N399;N400
N399,438,1036,N398;N397;N400
N400,438,1040,N399;N398
N401,442,874,N257;N256;N402;N403
N402,446,874,N401;N403
N403,450,874,N402;N401;N404
N404,450,866,N403;N405
N405,450,856,N404;N406
N406,456,854,N405;N407
N407,464,862,N406;N408
N408,472,870,N407
N409,442,824,N251;N252;N410;N411
N410,452,824,N409;N411
N411,466,824,N410;N409;N412
N412,482,824,N411;N413
N413,494,824,N412;N414
N414,508,824,N413;N415
N415,524,824,N414;N416
N416,546,824,N415;N418
N418,570,824,N416;N419
N419,584,824,N418;N420
N420,596,824,N419;N421
N421,612,824,N420;N422
N422,632,824,N421;N423
N423,648,824,N422;N424
N424,666,824,N423;N426
N425,688,824,N134;N426
N426,678,824,N425;N424
N427,695,1075,N428
N428,685,1075,N427;N429;N430
N429,675,1075,N428;N430;N431
N430,665,1075,N429;N428;N431;N432
N431,655,1075,N430;N429;N432;N433
N432,645,1075,N431;N430;N433
N433,640,1075,N432;N431
N434,695,1180,N435;N436
N435,690,1180,N434;N436;N437
N436,680,1180,N435;N434;N437;N438
N437,665,1180,N436;N435;N438;N439
N438,650,1180,N437;N436;N439
N439,640,1180,N438;N437
N440,774,1068,N441;N442
N441,774,1074,N440;N442;N443
N442,774,1080,N441;N440;N443;N444
N443,774,1090,N442;N441;N444;N445
N444,774,1098,N443;N442;N445;N446;N515
N445,774,1106,N444;N443;N446;N447
N446,774,1112,N445;N444;N447;N448
N447,774,1118,N446;N445;N448;N450
N448,774,1124,N447;N446;N450;N451
N450,774,1130,N448;N447;N451;N452
N451,774,1136,N450;N448;N452;N453
N452,774,1142,N451;N450;N453;N454
N453,774,1148,N452;N451;N454;N455
N454,774,1154,N453;N452;N455;N456
N455,774,1162,N454;N453;N456;N457
N456,774,1170,N455;N454;N457;N458
N457,774,1178,N456;N455;N458;N459
N458,774,1186,N457;N456;N459;N460
N459,774,1194,N458;N457;N460;N461
N460,774,1200,N459;N458;N461;N462;N466
N461,774,1208,N460;N459;N462;N463;N466
N462,774,1212,N461;N460;N463;N464
N463,774,1218,N462;N461;N464;N465
N464,774,1224,N463;N462;N465
N465,774,1230,N464;N463
N466,778,1206,N461;N460;N467;N468
N467,786,1206,N466;N468;N469
N468,796,1206,N467;N466;N469;N470
N469,806,1206,N468;N467;N470;N471
N470,814,1206,N469;N468;N471;N472
N471,824,1206,N470;N469;N472;N473
N472,834,1206,N471;N470;N473;N474
N473,846,1206,N472;N471;N474;N475
N474,858,1206,N473;N472;N475;N476
N475,868,1206,N474;N473;N476;N477
N476,880,1206,N475;N474;N477;N478
N477,888,1206,N476;N475;N478
N478,896,1206,N477;N476;N479;N480;N483;N484
N479,896,1210,N478;N480;N481
N480,896,1216,N479;N478;N481;N482
N481,896,1222,N480;N479;N482
N482,896,1230,N481;N480
N483,896,1198,N478;N484;N485;N486
N484,896,1176,N483;N478;N485;N486;N487
N485,896,1168,N484;N483;N487;N488
N486,896,1188,N483;N484
N487,896,1158,N485;N484;N488;N489
N488,896,1150,N487;N485;N489;N490
N489,896,1142,N488;N487;N490;N491
N490,896,1134,N489;N488;N491;N492
N491,896,1126,N490;N489;N492;N493
N492,896,1120,N491;N490;N493;N494
N493,896,1114,N492;N491;N494;N495
N494,896,1108,N493;N492;N495;N496
N495,896,1102,N494;N493;N496
N496,896,1096,N495;N494;N497;N498;N518;N519
N497,890,1096,N496;N498;N499
N498,884,1096,N497;N496;N499;N500
N499,878,1096,N498;N497;N500;N501
N500,872,1096,N499;N498;N501;N502
N501,866,1096,N500;N499;N502;N503
N502,860,1096,N501;N500;N503;N504
N503,854,1096,N502;N501;N504;N505
N504,848,1096,N503;N502;N505;N506
N505,842,1096,N504;N503;N506;N507
N506,836,1096,N505;N504;N507;N508
N507,830,1096,N506;N505;N508;N509
N508,824,1096,N507;N506;N509;N510
N509,818,1096,N508;N507;N510;N511
N510,810,1096,N509;N508;N511;N512;N516
N511,804,1096,N510;N509;N512;N513;N516
N512,798,1096,N511;N510;N513;N514
N513,792,1096,N512;N511;N514
N514,786,1096,N513;N512;N515
N515,780,1096,N514;N444
N516,810,1095,N510;N511
N518,896,1092,N496;N519;N520
N519,896,1086,N518;N496;N520;N521
N520,896,1082,N519;N518;N521;N522
N521,896,1074,N520;N519;N522
N522,896,1070,N521;N520
N523,890,880,N195;N524
N524,885,880,N523;N195;N525
N525,885,890,N524;N527
N526,885,910,N527;N533
N527,885,900,N525;N526
N528,810,905,N226;N529
N529,825,915,N528;N530;N531
N530,840,915,N529;N531
N531,855,915,N530;N529;N532
N532,870,915,N531;N534
N533,880,910,N526;N534
N534,876,912,N533;N532
